*******************************************************************************
JPL/HORIZONS                     (2015 VC2)                2016-Jan-18 04:18:46
Rec #:742289 (+COV)   Soln.date: 2016-Jan-07_13:58:58     # obs: 93 (2015-2016)
 
FK5/J2000.0 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2457352.5 ! 2015-Nov-26.00 (TDB)         Residual RMS= .25162        
   EC= .07662727669316433  QR= .974594207531325    TP= 2457411.6146060848      
   OM= 214.3554457562076   W=  268.7634267328857   IN= .7719736301735991       
   A= 1.05547216517405     MA= 306.2685331339228   ADIST= 1.136350122816775    
   PER= 1.08437            N= .908937214           ANGMOM= .017620817          
   DAN= 1.05101            DDN= 1.04754            L= 123.1187703              
   B= -.7717938            MOID= .0102857          TP= 2016-Jan-24.1146060848  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
 
ASTEROID comments: 
1: soln ref.= JPL#25, OCC=4
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jan 18 04:18:46 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2015 VC2)                      {source: JPL#25}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Nov-03 00:00:00.0000 CT 
Stop  time      : A.D. 2016-Feb-03 00:00:00.0000 CT 
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 03
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457352.5 ! 2015-Nov-26.00 (TDB)         Residual RMS= .25162        
   EC= .07662727669316433  QR= .974594207531325    TP= 2457411.6146060848      
   OM= 214.3554457562076   W=  268.7634267328857   IN= .7719736301735991       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457329.500000000, A.D. 2015-Nov-03 00:00:00.0000,  1.194562735672171E+08,  9.148792520654319E+07,  3.945067275278836E+07, -2.046671000404502E+01,  1.953597811648351E+01,  8.041448140230500E+00,  5.188631835055338E+02,  1.555512691488290E+08, -2.187897709418348E+00,
2457330.500000000, A.D. 2015-Nov-04 00:00:00.0000,  1.176722628237963E+08,  9.316368791946246E+07,  4.014021880512265E+07, -2.082915154081765E+01,  1.925380001723750E+01,  7.919841530855233E+00,  5.182331410782492E+02,  1.553623871809091E+08, -2.184275181692074E+00,
2457331.500000000, A.D. 2015-Nov-05 00:00:00.0000,  1.158571161573261E+08,  9.481480515947795E+07,  4.081914824771649E+07, -2.118742721526075E+01,  1.896548693322740E+01,  7.795696013966038E+00,  5.176042248927645E+02,  1.551738428517866E+08, -2.180081321177825E+00,
2457332.500000000, A.D. 2015-Nov-06 00:00:00.0000,  1.140111991423454E+08,  9.644074842407022E+07,  4.148724244236077E+07, -2.154140630038561E+01,  1.867107541425469E+01,  7.669028521687488E+00,  5.169766001923130E+02,  1.549856857001368E+08, -2.175312059218980E+00,
2457333.500000000, A.D. 2015-Nov-07 00:00:00.0000,  1.121348886677280E+08,  9.804099248200223E+07,  4.214428426243391E+07, -2.189095762559264E+01,  1.837060464217137E+01,  7.539857115150893E+00,  5.163504333977627E+02,  1.547979656176805E+08, -2.169963291593830E+00,
2457334.500000000, A.D. 2015-Nov-08 00:00:00.0000,  1.102285729728180E+08,  9.961501560264860E+07,  4.279005819115716E+07, -2.223594962788661E+01,  1.806411647497618E+01,  7.408201000705978E+00,  5.157258921181912E+02,  1.546107328523553E+08, -2.164030876705697E+00,
2457335.500000000, A.D. 2015-Nov-09 00:00:00.0000,  1.082926516790108E+08,  1.011622997890419E+08,  4.342435042119797E+07, -2.257625040618420E+01,  1.775165548873475E+01,  7.274080544916131E+00,  5.151031451615681E+02,  1.544240380115173E+08, -2.157510636734884E+00,
2457336.500000000, A.D. 2015-Nov-10 00:00:00.0000,  1.063275358164919E+08,  1.026823310144440E+08,  4.404694895551815E+07, -2.291172777917829E+01,  1.743326901727414E+01,  7.137517288395104E+00,  5.144823625446298E+02,  1.542379320649017E+08, -2.150398362136155E+00,
2457337.500000000, A.D. 2015-Nov-11 00:00:00.0000,  1.043336478458061E+08,  1.041745994622524E+08,  4.465764370937138E+07, -2.324224934717619E+01,  1.710900718967660E+01,  6.998533958597046E+00,  5.138637155009490E+02,  1.540524663470422E+08, -2.142689819692816E+00,
