*******************************************************************************
JPL/HORIZONS                     (2015 VC2)                2016-Jan-20 00:05:54
Rec #:742235 (+COV)   Soln.date: 2016-Jan-07_13:58:58     # obs: 93 (2015-2016)
 
FK5/J2000.0 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs): 
 
  EPOCH=  2457352.5 ! 2015-Nov-26.00 (TDB)         Residual RMS= .25162        
   EC= .07662727669316433  QR= .974594207531325    TP= 2457411.6146060848      
   OM= 214.3554457562076   W=  268.7634267328857   IN= .7719736301735991       
   A= 1.05547216517405     MA= 306.2685331339228   ADIST= 1.136350122816775    
   PER= 1.08437            N= .908937214           ANGMOM= .017620817          
   DAN= 1.05101            DDN= 1.04754            L= 123.1187703              
   B= -.7717938            MOID= .0102857          TP= 2016-Jan-24.1146060848  
 
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
 
ASTEROID comments: 
1: soln ref.= JPL#25, OCC=4
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Wed Jan 20 00:05:54 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: (2015 VC2)                      {source: JPL#25}
Center body name: Earth (399)                     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Nov-03 00:00:00.0000 CT 
Stop  time      : A.D. 2016-Feb-03 00:00:00.0000 CT 
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 03
Reference frame : ICRF/J2000.0                                                 
Output type     : LT+S CORRECTED cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457352.5 ! 2015-Nov-26.00 (TDB)         Residual RMS= .25162        
   EC= .07662727669316433  QR= .974594207531325    TP= 2457411.6146060848      
   OM= 214.3554457562076   W=  268.7634267328857   IN= .7719736301735991       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 27.4                 G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457329.500000000, A.D. 2015-Nov-03 00:00:00.0000,  5.793761189424626E+06,  3.908949675502295E+06,  1.484482489321239E+06, -8.340392342269025E-01, -1.296580732767554E+00, -9.891758611410688E-01,  2.383320584952794E+01,  7.145015363649957E+06, -1.591166239179507E+00,
2457330.500000000, A.D. 2015-Nov-04 00:00:00.0000,  5.723227001941469E+06,  3.798053891593952E+06,  1.399545215840329E+06, -7.990161207605674E-01, -1.270358801653801E+00, -9.768841461433561E-01,  2.338264500171252E+01,  7.009940619604808E+06, -1.535681390898478E+00,
2457331.500000000, A.D. 2015-Nov-05 00:00:00.0000,  5.655665275953893E+06,  3.689455772893996E+06,  1.315686959738663E+06, -7.652526730128866E-01, -1.243384585046007E+00, -9.641905393118737E-01,  2.294806207373895E+01,  6.879655935422775E+06, -1.480306343832508E+00,
2457332.500000000, A.D. 2015-Nov-06 00:00:00.0000,  5.590962797067801E+06,  3.583219765176610E+06,  1.232942074823432E+06, -7.328488704384408E-01, -1.215673309697192E+00, -9.511043714090903E-01,  2.252940274715747E+01,  6.754145026842290E+06, -1.425200667235044E+00,
2457333.500000000, A.D. 2015-Nov-07 00:00:00.0000,  5.528997949873343E+06,  3.479408399594225E+06,  1.151343915260303E+06, -7.018993909597757E-01, -1.187253455772534E+00, -9.376392733285390E-01,  2.212656485815932E+01,  6.633377265924003E+06, -1.370536432301910E+00,
2457334.500000000, A.D. 2015-Nov-08 00:00:00.0000,  5.469641098586271E+06,  3.378081276934678E+06,  1.070924506767843E+06, -6.724955204698922E-01, -1.158164192571808E+00, -9.238123310067359E-01,  2.173939500697920E+01,  6.517306664575222E+06, -1.316497077463968E+00,
2457335.500000000, A.D. 2015-Nov-09 00:00:00.0000,  5.412754792313078E+06,  3.279294168874946E+06,  9.917142563069451E+05, -6.447270986726698E-01, -1.128455155658501E+00, -9.096440132001926E-01,  2.136768527236836E+01,  6.405870889573708E+06, -1.263277574652431E+00,
2457336.500000000, A.D. 2015-Nov-10 00:00:00.0000,  5.358193838463418E+06,  3.183098058286222E+06,  9.137416414799022E+05, -6.186834917400477E-01, -1.098187961818827E+00, -8.951586740082703E-01,  2.101116985441798E+01,  6.298990256111470E+06, -1.211084552968017E+00,
2457337.500000000, A.D. 2015-Nov-11 00:00:00.0000,  5.305805357481001E+06,  3.089538001421963E+06,  8.370328408117817E+05, -5.944529840187409E-01, -1.067438676195881E+00, -8.803853719927145E-01,  2.066952182458653E+01,  6.196566753477441E+06, -1.160135271126682E+00,
