*******************************************************************************
Ephemeris / WWW_USER Wed Feb 24 01:44:04 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 3552 Don Quixote (1983 SA)      {source: JPL#129}
Center body name: Sun (10)                        {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1983-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Mar-20 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Reference frame : ICRF/J2000.0                                                 
Output type     : GEOMETRIC cartesian states
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454981.5 ! 2009-May-30.00 (TDB)         Residual RMS= .36171        
   EC= .7138591939946456   QR= 1.208904750718783   TP= 2455083.114208498       
   OM= 350.2678783992935   W=  317.1118412185904   IN= 30.96837943826426       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 9.5                ROTPER= 7.7                 
   H= 12.9                 G= .150                 B-V= n.a.                   
                           ALBEDO= .030            STYP= D                     
*******************************************************************************
JDTDB,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2445578.500000000, A.D. 1983-Sep-01 00:00:00.0000,  1.850686230336218E+08, -4.630121078214568E+07, -3.763938435632440E+07,  1.765755173962933E+01,  1.591644952256338E+01,  2.428962967548935E+01,
2445579.500000000, A.D. 1983-Sep-02 00:00:00.0000,  1.865817780632898E+08, -4.492295227131685E+07, -3.553828043408091E+07,  1.736933095915614E+01,  1.598719465281129E+01,  2.434638626927181E+01,
2445580.500000000, A.D. 1983-Sep-03 00:00:00.0000,  1.880700702187597E+08, -4.353870738691233E+07, -3.343244005118921E+07,  1.708204043153563E+01,  1.605502870862756E+01,  2.439928035431103E+01,
2445581.500000000, A.D. 1983-Sep-04 00:00:00.0000,  1.895335845261801E+08, -4.214872613536096E+07, -3.132219420804105E+07,  1.679578713247544E+01,  1.611998695888932E+01,  2.444837522306845E+01,
2445582.500000000, A.D. 1983-Sep-05 00:00:00.0000,  1.909724150683765E+08, -4.075325539857955E+07, -2.920786835612259E+07,  1.651067372835855E+01,  1.618210643830826E+01,  2.449373599785398E+01,
2445583.500000000, A.D. 1983-Sep-06 00:00:00.0000,  1.923866646118832E+08, -3.935253878735666E+07, -2.708978224817760E+07,  1.622679856355230E+01,  1.624142581001761E+01,  2.453542944031675E+01,
2445584.500000000, A.D. 1983-Sep-07 00:00:00.0000,  1.937764442334323E+08, -3.794681650650931E+07, -2.496824980463037E+07,  1.594425566037876E+01,  1.629798523052825E+01,  2.457352376565775E+01,
2445585.500000000, A.D. 1983-Sep-08 00:00:00.0000,  1.951418729469601E+08, -3.653632523159125E+07, -2.284357899583939E+07,  1.566313473105127E+01,  1.635182621744022E+01,  2.460808846203796E+01,
