 71492., 1.26686535E+08, 7.3999999999999996E-05,   6,   6,    0, 0.0000000000000000E+00, 0.0000000000000000E+00
    0    0  1.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    0  -14696.4E-06            0.0000000000000000E+00 0.e0 0.e0
    2    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    0  +587.E-6                0.0000000000000000E+00 0.e0 0.e0
    4    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    0  -34.E-6                 0.0000000000000000E+00 0.e0 0.e0
    6    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    6  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
