 60330., 3.7931208E+07, 7.3999999999999996E-05,   8,   8,    0, 0.0000000000000000E+00, 0.0000000000000000E+00
    0    0  1.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    0  -16290.71E-06            0.0000000000000000E+00 0.e0 0.e0
    2    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    0  +935.83E-6              0.0000000000000000E+00 0.e0 0.e0
    4    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    5    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    0  -86.14E-6               0.0000000000000000E+00 0.e0 0.e0
    6    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    6    6  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    6  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    7    7  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    0  +10.E-6                 0.0000000000000000E+00 0.e0 0.e0
    8    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    5  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    6  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    7  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    8    8  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
