 26200., 5793964.E0, 7.3999999999999996E-05,   4,   4,    0, 0.0000000000000000E+00, 0.0000000000000000E+00
    0    0  1.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    1    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    0  -3341.29E-6             0.0000000000000000E+00 0.e0 0.e0
    2    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    2    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    0  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    3    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    0  +30.44E-6               0.0000000000000000E+00 0.e0 0.e0
    4    1  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    2  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    3  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0
    4    4  0.0000000000000000E+00  0.0000000000000000E+00 0.e0 0.e0

